Air Superiority Blue
Arsenic
Black Olive
Cadet
Café Noir
Charcoal
Cool Grey
Dark Slate Blue
Dark Slate Gray
Davy'S Grey
Feldgrau
Glaucous
Jet
Liver
Olive Drab #7
Onyx
Outer Space
Payne'S Grey
Purple Taupe
Quartz
Rackley
Rifle Green
Slate Gray
Stormcloud
Taupe
Ucla Blue
